week;kvregion;region;specialization;gender;age_group;insurancecode;insurancetype;risk_groups;absolute;extrapolated
2024-36;Brandenburg;Region Ost;01;m;30-59;89112;GKV;;1;5
2024-36;Brandenburg;Region Ost;01;m;60-199;89111;GKV;;4;21
2024-36;Brandenburg;Region Ost;03;f;60-199;375;PKV;Hypertonie;1;99
2024-36;Brandenburg;Region Ost;03;f;60-199;89111;GKV;;1;99
2024-36;Brandenburg;Region Ost;03;m;60-199;89111;GKV;;2;198
2024-36;Brandenburg;Region Ost;03;m;60-199;89111;GKV;Diabetes T2;1;99
2024-36;Brandenburg;Region Ost;03;m;60-199;89111;GKV;Hypertonie;1;99
2024-36;Bremen;Region Nord;01;f;0-29;89112;GKV;;1;35
2024-36;Bremen;Region Nord;01;f;60-199;89111;GKV;;1;35
2024-36;Bremen;Region Nord;01;m;30-59;375;GKV;;1;35
2024-36;Bremen;Region Nord;01;m;30-59;89112;GKV;;2;70
2024-36;Bremen;Region Nord;01;m;60-199;89111;GKV;;2;70
2024-36;Bremen;Region Nord;03;f;60-199;89111;GKV;;1;30
2024-36;Bremen;Region Nord;03;m;30-59;89112;GKV;;1;30
2024-36;Hamburg;Region Nord;01;m;60-199;89111;GKV;;1;28
2024-36;Hessen;Region West;01;f;30-59;89112;GKV;;1;38
2024-36;Hessen;Region West;01;f;60-199;89111;GKV;;2;75
2024-36;Hessen;Region West;01;m;30-59;89112;GKV;;3;113
2024-36;Hessen;Region West;01;m;30-59;89112;GKV;Hypertonie;1;38
2024-36;Hessen;Region West;01;m;60-199;89111;GKV;;1;38
2024-36;Hessen;Region West;03;f;30-59;89112;GKV;;2;96
2024-36;Hessen;Region West;03;f;60-199;377;PKV;;1;48
2024-36;Hessen;Region West;03;f;60-199;89111;GKV;;2;96
2024-36;Hessen;Region West;03;f;60-199;89111;GKV;COPD;1;48
2024-36;Hessen;Region West;03;f;60-199;89111;GKV;;2;96
2024-36;Hessen;Region West;03;m;0-29;89112;GKV;;2;96
2024-36;Hessen;Region West;03;m;60-199;375;PKV;;1;48
2024-36;Hessen;Region West;03;m;60-199;89111;GKV;;3;144
2024-36;Hessen;Region West;03;m;60-199;89111;GKV;Diabetes T2;1;48
2024-36;Hessen;Region West;03;m;60-199;89111;GKV;;1;48
2024-36;Mecklenburg-Vorpommern;Region Ost;01;f;60-199;89111;GKV;;1;41
2024-36;Niedersachsen;Region Nord;01;f;30-59;375;PKV;;1;39
2024-36;Niedersachsen;Region Nord;01;f;30-59;89112;GKV;;2;77
2024-36;Niedersachsen;Region Nord;01;f;30-59;89112;GKV;Hypertonie;1;39
2024-36;Niedersachsen;Region Nord;01;f;60-199;3595H1;PKV;;1;39
2024-36;Niedersachsen;Region Nord;01;f;60-199;375;PKV;;1;39
2024-36;Niedersachsen;Region Nord;01;f;60-199;89111;GKV;;8;309
2024-36;Niedersachsen;Region Nord;01;m;60-199;1;PKV;;1;39
2024-36;Niedersachsen;Region Nord;01;m;60-199;3;PKV;;1;39
2024-36;Niedersachsen;Region Nord;01;m;60-199;375;PKV;;1;39
2024-36;Niedersachsen;Region Nord;01;m;60-199;89111;GKV;;8;309
2024-36;Niedersachsen;Region Nord;02;f;60-199;89111;GKV;;2;46
2024-36;Niedersachsen;Region Nord;02;m;60-199;89111;GKV;;1;23
2024-36;Niedersachsen;Region Nord;03;f;60-199;2;PKV;;1;40
2024-36;Niedersachsen;Region Nord;03;f;60-199;89111;GKV;;1;40
2024-36;Niedersachsen;Region Nord;03;m;60-199;2;PKV;Hypertonie;1;40
2024-36;Niedersachsen;Region Nord;03;m;60-199;375;PKV;Hypertonie;1;40
2024-36;Niedersachsen;Region Nord;03;m;60-199;5;PKV;;1;40
2024-36;Niedersachsen;Region Nord;03;m;60-199;89111;GKV;;1;40
2024-36;Nordrhein-Westfalen;Region West;01;f;0-29;89112;GKV;;1;32
2024-36;Nordrhein-Westfalen;Region West;01;f;0-29;89112;GKV;Asthma;1;32
2024-36;Nordrhein-Westfalen;Region West;01;f;30-59;2;PKV;;1;32
2024-36;Nordrhein-Westfalen;Region West;01;f;30-59;89112;GKV;;1;32
2024-36;Nordrhein-Westfalen;Region West;01;f;30-59;89112;GKV;;8;253
2024-36;Nordrhein-Westfalen;Region West;01;f;30-59;89112;GKV;Chronische Leberkrankheit;1;32
2024-36;Nordrhein-Westfalen;Region West;01;f;30-59;89112Y;GKV;;1;32
2024-36;Nordrhein-Westfalen;Region West;01;f;60-199;375;PKV;;1;32
2024-36;Nordrhein-Westfalen;Region West;01;f;60-199;89111;GKV;;3;95
2024-36;Nordrhein-Westfalen;Region West;01;f;60-199;89111;GKV;;31;982
2024-36;Nordrhein-Westfalen;Region West;01;f;60-199;89111;GKV;Asthma;1;32
2024-36;Nordrhein-Westfalen;Region West;01;f;60-199;89111;GKV;COPD;2;63
2024-36;Nordrhein-Westfalen;Region West;01;f;60-199;89111;GKV;Hypertonie;1;32
2024-36;Nordrhein-Westfalen;Region West;01;m;0-29;89112;GKV;;1;32
2024-36;Nordrhein-Westfalen;Region West;01;m;30-59;89111;GKV;;1;32
2024-36;Nordrhein-Westfalen;Region West;01;m;30-59;89112;GKV;;4;127
2024-36;Nordrhein-Westfalen;Region West;01;m;30-59;89112;GKV;Asthma;1;32
2024-36;Nordrhein-Westfalen;Region West;01;m;30-59;89112;GKV;Chronische Herzkreislauf;1;32
2024-36;Nordrhein-Westfalen;Region West;01;m;30-59;89112;GKV;Hypertonie;1;32
2024-36;Nordrhein-Westfalen;Region West;01;m;30-59;89112Y;GKV;;1;32
2024-36;Nordrhein-Westfalen;Region West;01;m;60-199;375;PKV;;1;32
2024-36;Nordrhein-Westfalen;Region West;01;m;60-199;89111;GKV;;3;95
2024-36;Nordrhein-Westfalen;Region West;01;m;60-199;89111;GKV;;40;1267
2024-36;Nordrhein-Westfalen;Region West;01;m;60-199;89111;GKV;Diabetes T2;1;32
2024-36;Nordrhein-Westfalen;Region West;01;m;60-199;89111;GKV;Hypertonie;1;32
2024-36;Nordrhein-Westfalen;Region West;01;m;60-199;89112;GKV;;1;32
2024-36;Nordrhein-Westfalen;Region West;02;f;30-59;89112;GKV;;4;221
2024-36;Nordrhein-Westfalen;Region West;02;f;60-199;89111;GKV;;1;55
2024-36;Nordrhein-Westfalen;Region West;02;f;60-199;89111;GKV;;6;332
2024-36;Nordrhein-Westfalen;Region West;02;f;60-199;89111;GKV;Hypertonie;1;55
2024-36;Nordrhein-Westfalen;Region West;02;m;30-59;89112;GKV;;11;608
2024-36;Nordrhein-Westfalen;Region West;02;m;30-59;89112;GKV;Diabetes T2;1;55
2024-36;Nordrhein-Westfalen;Region West;02;m;60-199;89111;GKV;;5;276
2024-36;Nordrhein-Westfalen;Region West;02;m;60-199;89111;GKV;Chronische Herzkreislauf;1;55
2024-36;Nordrhein-Westfalen;Region West;02;m;60-199;89111;GKV;Chronische Leberkrankheit;1;55
2024-36;Nordrhein-Westfalen;Region West;02;m;60-199;89111;GKV;Diabetes T2;1;55
2024-36;Nordrhein-Westfalen;Region West;02;m;60-199;89111;GKV;Hypertonie;2;110
2024-36;Nordrhein-Westfalen;Region West;03;f;30-59;2;PKV;;1;37
2024-36;Nordrhein-Westfalen;Region West;03;f;30-59;89111;GKV;;2;75
2024-36;Nordrhein-Westfalen;Region West;03;f;30-59;89112;GKV;;2;75
2024-36;Nordrhein-Westfalen;Region West;03;f;30-59;89112;GKV;Diabetes T2;1;37
2024-36;Nordrhein-Westfalen;Region West;03;f;60-199;89111;GKV;;4;150
2024-36;Nordrhein-Westfalen;Region West;03;f;60-199;89111;GKV;;10;375
2024-36;Nordrhein-Westfalen;Region West;03;m;30-59;89112;GKV;;1;37
2024-36;Nordrhein-Westfalen;Region West;03;m;30-59;89112;GKV;Diabetes T2;1;37
2024-36;Nordrhein-Westfalen;Region West;03;m;30-59;89112;GKV;;2;75
2024-36;Nordrhein-Westfalen;Region West;03;m;30-59;89112;GKV;Chronische Herzkreislauf;1;37
2024-36;Nordrhein-Westfalen;Region West;03;m;60-199;2;PKV;;1;37
2024-36;Nordrhein-Westfalen;Region West;03;m;60-199;89111;GKV;;2;75
2024-36;Nordrhein-Westfalen;Region West;03;m;60-199;89111;GKV;;6;225
2024-36;Nordrhein-Westfalen;Region West;03;m;60-199;89111;GKV;Chronische Herzkreislauf;1;37
2024-36;Nordrhein-Westfalen;Region West;03;m;60-199;89111;GKV;Diabetes T2;2;75
2024-36;Nordrhein-Westfalen;Region West;03;m;60-199;89112;GKV;;1;37
2024-36;Rheinland-Pfalz;Region West;01;f;60-199;377;PKV;;1;47
2024-36;Sachsen-Anhalt;Region Ost;01;f;30-59;375;PKV;;1;45
2024-36;Sachsen-Anhalt;Region Ost;01;f;60-199;89111;GKV;;1;45
2024-36;Sachsen-Anhalt;Region Ost;01;f;60-199;89111;GKV;Diabetes T2;1;45
2024-36;Sachsen-Anhalt;Region Ost;01;f;60-199;89111;GKV;Hypertonie;1;45
2024-36;Schleswig-Holstein;Region Nord;01;f;0-29;89111;GKV;;1;29
2024-36;Schleswig-Holstein;Region Nord;01;f;60-199;89111;GKV;;2;59
2024-36;Schleswig-Holstein;Region Nord;01;m;60-199;375;PKV;;1;29
2024-36;Schleswig-Holstein;Region Nord;01;m;60-199;89111;GKV;;2;59
2024-36;Schleswig-Holstein;Region Nord;03;f;0-29;89112;GKV;;1;19
2024-36;Schleswig-Holstein;Region Nord;03;f;30-59;89112;GKV;;3;58
2024-36;Schleswig-Holstein;Region Nord;03;f;30-59;89112;GKV;Asthma;1;19
2024-36;Schleswig-Holstein;Region Nord;03;f;30-59;89112;GKV;Diabetes T2;1;19
2024-36;Schleswig-Holstein;Region Nord;03;f;30-59;89112;GKV;Hypertonie;1;19
2024-36;Schleswig-Holstein;Region Nord;03;f;60-199;89111;GKV;;1;19
2024-36;Schleswig-Holstein;Region Nord;03;f;60-199;89111;GKV;;6;115
2024-36;Schleswig-Holstein;Region Nord;03;m;60-199;34;PKV;;1;19
2024-36;Schleswig-Holstein;Region Nord;03;m;60-199;89111;GKV;;2;38
2024-36;Schleswig-Holstein;Region Nord;03;m;60-199;89112;GKV;;1;19
2024-36;Thüringen;Region Ost;01;m;0-29;89112;GKV;;1;25
2024-36;Thüringen;Region Ost;02;f;60-199;89111;GKV;Hypertonie;1;0
2024-36;Thüringen;Region Ost;03;m;60-199;89111;GKV;;1;48
2024-37;Baden-Württemberg;Region Süd;01;f;0-29;375;GKV;;1;45
2024-37;Baden-Württemberg;Region Süd;01;f;0-29;375;PKV;;1;45
2024-37;Baden-Württemberg;Region Süd;01;f;0-29;89112;GKV;;1;45
2024-37;Baden-Württemberg;Region Süd;01;f;0-29;89112;GKV;;2;89
2024-37;Baden-Württemberg;Region Süd;01;f;30-59;3;PKV;;1;45
2024-37;Baden-Württemberg;Region Süd;01;f;30-59;375;GKV;;1;45
2024-37;Baden-Württemberg;Region Süd;01;f;30-59;89112;GKV;;3;134
2024-37;Baden-Württemberg;Region Süd;01;f;30-59;89112;GKV;;3;134
2024-37;Baden-Württemberg;Region Süd;01;f;60-199;375;PKV;Hypertonie;1;45
2024-37;Baden-Württemberg;Region Süd;01;f;60-199;89111;GKV;;20;894
2024-37;Baden-Württemberg;Region Süd;01;f;60-199;89111;GKV;Chronische Herzkreislauf;1;45
2024-37;Baden-Württemberg;Region Süd;01;f;60-199;89111;GKV;Diabetes T2;1;45
2024-37;Baden-Württemberg;Region Süd;01;m;0-29;89112;GKV;;1;45
2024-37;Baden-Württemberg;Region Süd;01;m;30-59;89112;GKV;;2;89
2024-37;Baden-Württemberg;Region Süd;01;m;60-199;375;PKV;;3;134
2024-37;Baden-Württemberg;Region Süd;01;m;60-199;89111;GKV;;1;45
2024-37;Baden-Württemberg;Region Süd;01;m;60-199;89111;GKV;;16;715
2024-37;Baden-Württemberg;Region Süd;01;m;60-199;89111;GKV;Chronische Herzkreislauf;2;89
2024-37;Baden-Württemberg;Region Süd;01;m;60-199;89111;GKV;Diabetes T2;1;45
2024-37;Baden-Württemberg;Region Süd;01;m;60-199;89111;GKV;Hypertonie;3;134
2024-37;Baden-Württemberg;Region Süd;01;m;60-199;89112;GKV;;1;45
2024-37;Baden-Württemberg;Region Süd;02;m;60-199;750;PKV;COPD;1;87
2024-37;Baden-Württemberg;Region Süd;02;m;60-199;750;PKV;Diabetes T2;1;87
2024-37;Baden-Württemberg;Region Süd;03;f;0-29;89112;GKV;;1;63
2024-37;Baden-Württemberg;Region Süd;03;f;30-59;375;PKV;;2;127
2024-37;Baden-Württemberg;Region Süd;03;f;30-59;89112;GKV;;4;253
2024-37;Baden-Württemberg;Region Süd;03;f;60-199;375;PKV;;1;63
2024-37;Baden-Württemberg;Region Süd;03;f;60-199;89111;GKV;;2;127
2024-37;Baden-Württemberg;Region Süd;03;f;60-199;89111;GKV;COPD;1;63
2024-37;Baden-Württemberg;Region Süd;03;f;60-199;89111;GKV;Diabetes T2;1;63
2024-37;Baden-Württemberg;Region Süd;03;f;60-199;89111;GKV;;7;444
2024-37;Baden-Württemberg;Region Süd;03;m;30-59;89112;GKV;;1;63
2024-37;Baden-Württemberg;Region Süd;03;m;30-59;89112;GKV;Chronische Herzkreislauf;1;63
2024-37;Baden-Württemberg;Region Süd;03;m;30-59;89112;GKV;;1;63
2024-37;Baden-Württemberg;Region Süd;03;m;60-199;89111;GKV;;5;317
2024-37;Baden-Württemberg;Region Süd;03;m;60-199;89111;GKV;;7;444
2024-37;Baden-Württemberg;Region Süd;03;m;60-199;89111;GKV;Chronische Herzkreislauf;1;63
2024-37;Bayern;Region Süd;01;f;0-29;89112;GKV;;1;46
2024-37;Bayern;Region Süd;01;f;0-29;89112;GKV;;5;229
2024-37;Bayern;Region Süd;01;f;0-29;89112;GKV;Asthma;1;46
2024-37;Bayern;Region Süd;01;f;30-59;89111;GKV;;1;46
2024-37;Bayern;Region Süd;01;f;30-59;89111;GKV;;3;138
2024-37;Bayern;Region Süd;01;f;30-59;89112;GKV;;15;688
2024-37;Bayern;Region Süd;01;f;30-59;89112;GKV;Asthma;1;46
2024-37;Bayern;Region Süd;01;f;30-59;89112;GKV;Hypertonie;2;92
2024-37;Bayern;Region Süd;01;f;30-59;89112Z;GKV;;5;229
2024-37;Bayern;Region Süd;01;f;60-199;375;PKV;;5;229
2024-37;Bayern;Region Süd;01;f;60-199;375;PKV;Hypertonie;1;46
2024-37;Bayern;Region Süd;01;f;60-199;377;PKV;;1;46
2024-37;Bayern;Region Süd;01;f;60-199;89111;GKV;;3;138
2024-37;Bayern;Region Süd;01;f;60-199;89111;GKV;;56;2568
2024-37;Bayern;Region Süd;01;f;60-199;89111;GKV;COPD;2;92
2024-37;Bayern;Region Süd;01;f;60-199;89111;GKV;Chronische Herzkreislauf;2;92
2024-37;Bayern;Region Süd;01;f;60-199;89111;GKV;Diabetes T2;3;138
2024-37;Bayern;Region Süd;01;f;60-199;89111;GKV;Hypertonie;2;92
2024-37;Bayern;Region Süd;01;f;60-199;89112;GKV;;2;92
2024-37;Bayern;Region Süd;01;f;60-199;89112;GKV;;1;46
2024-37;Bayern;Region Süd;01;m;0-29;03003;GKV;;1;46
2024-37;Bayern;Region Süd;01;m;0-29;89112;GKV;;1;46
2024-37;Bayern;Region Süd;01;m;0-29;89112Y;GKV;;1;46
2024-37;Bayern;Region Süd;01;m;30-59;377;PKV;;1;46
2024-37;Bayern;Region Süd;01;m;30-59;89112;GKV;;12;550
2024-37;Bayern;Region Süd;01;m;30-59;89112;GKV;COPD;1;46
2024-37;Bayern;Region Süd;01;m;30-59;89112;GKV;Chronische Herzkreislauf;2;92
2024-37;Bayern;Region Süd;01;m;30-59;89112Y;GKV;;1;46
2024-37;Bayern;Region Süd;01;m;30-59;89112Z;GKV;;1;46
2024-37;Bayern;Region Süd;01;m;30-59;89112Z;GKV;;7;321
2024-37;Bayern;Region Süd;01;m;60-199;375;PKV;;6;275
2024-37;Bayern;Region Süd;01;m;60-199;375;PKV;Chronische Herzkreislauf;1;46
2024-37;Bayern;Region Süd;01;m;60-199;7;PKV;;1;46
2024-37;Bayern;Region Süd;01;m;60-199;89111;GKV;;1;46
2024-37;Bayern;Region Süd;01;m;60-199;89111;GKV;;55;2522
2024-37;Bayern;Region Süd;01;m;60-199;89111;GKV;Asthma;2;92
2024-37;Bayern;Region Süd;01;m;60-199;89111;GKV;COPD;2;92
2024-37;Bayern;Region Süd;01;m;60-199;89111;GKV;Chronische Herzkreislauf;3;138
2024-37;Bayern;Region Süd;01;m;60-199;89111;GKV;Diabetes T2;3;138
2024-37;Bayern;Region Süd;01;m;60-199;89111;GKV;Hypertonie;3;138
2024-37;Bayern;Region Süd;01;m;60-199;89112;GKV;;1;46
2024-37;Bayern;Region Süd;01;m;60-199;89112Z;GKV;;1;46
2024-37;Bayern;Region Süd;03;f;30-59;89111;GKV;;1;64
2024-37;Bayern;Region Süd;03;f;30-59;89112;GKV;;4;255
2024-37;Bayern;Region Süd;03;f;60-199;375;PKV;;1;64
2024-37;Bayern;Region Süd;03;f;60-199;375;PKV;;1;64
2024-37;Bayern;Region Süd;03;f;60-199;89111;GKV;;1;64
2024-37;Bayern;Region Süd;03;f;60-199;89111;GKV;;18;1146
2024-37;Bayern;Region Süd;03;m;30-59;375;PKV;;1;64
2024-37;Bayern;Region Süd;03;m;30-59;89112Z;GKV;;2;127
2024-37;Bayern;Region Süd;03;m;60-199;375;PKV;;3;191
2024-37;Bayern;Region Süd;03;m;60-199;605A;PKV;;1;64
2024-37;Bayern;Region Süd;03;m;60-199;89111;GKV;;2;127
2024-37;Bayern;Region Süd;03;m;60-199;89111;GKV;;14;891
2024-37;Berlin;Region Ost;01;f;0-29;89112;GKV;;1;51
2024-37;Berlin;Region Ost;01;f;30-59;89112;GKV;;6;303
2024-37;Berlin;Region Ost;01;f;30-59;89112Y;GKV;;1;51
