week;kvregion;region;specialization;gender;age_group;insurancecode;insurancetype;absolute;extrapolated
2024-36;Hessen;Region West;03;m;60-199;89111;GKV;4;192
2024-36;Hessen;Region West;03;m;60-199;89111;GKV;1;48
2024-36;Mecklenburg-Vorpommern;Region Ost;01;f;60-199;89111;GKV;1;41
2024-36;Niedersachsen;Region Nord;01;f;30-59;375;PKV;1;39
2024-36;Niedersachsen;Region Nord;01;f;30-59;89112;GKV;3;116
2024-36;Niedersachsen;Region Nord;01;f;60-199;3595H1;PKV;1;39
2024-36;Niedersachsen;Region Nord;01;f;60-199;375;PKV;1;39
2024-36;Niedersachsen;Region Nord;01;f;60-199;89111;GKV;8;309
2024-36;Niedersachsen;Region Nord;01;m;60-199;1;PKV;1;39
2024-36;Niedersachsen;Region Nord;01;m;60-199;3;PKV;1;39
2024-36;Niedersachsen;Region Nord;01;m;60-199;375;PKV;1;39
2024-36;Niedersachsen;Region Nord;01;m;60-199;89111;GKV;8;309
2024-36;Niedersachsen;Region Nord;02;f;60-199;89111;GKV;2;46
2024-36;Niedersachsen;Region Nord;02;m;60-199;89111;GKV;1;23
2024-36;Niedersachsen;Region Nord;03;f;60-199;2;PKV;1;40
2024-36;Niedersachsen;Region Nord;03;f;60-199;89111;GKV;1;40
2024-36;Niedersachsen;Region Nord;03;m;60-199;2;PKV;1;40
2024-36;Niedersachsen;Region Nord;03;m;60-199;375;PKV;1;40
2024-36;Niedersachsen;Region Nord;03;m;60-199;5;PKV;1;40
2024-36;Niedersachsen;Region Nord;03;m;60-199;89111;GKV;1;40
2024-36;Nordrhein-Westfalen;Region West;01;f;0-29;89112;GKV;2;63
2024-36;Nordrhein-Westfalen;Region West;01;f;30-59;2;PKV;1;32
2024-36;Nordrhein-Westfalen;Region West;01;f;30-59;89112;GKV;1;32
2024-36;Nordrhein-Westfalen;Region West;01;f;30-59;89112;GKV;9;285
2024-36;Nordrhein-Westfalen;Region West;01;f;30-59;89112Y;GKV;1;32
2024-36;Nordrhein-Westfalen;Region West;01;f;60-199;375;PKV;1;32
2024-36;Nordrhein-Westfalen;Region West;01;f;60-199;89111;GKV;3;95
2024-36;Nordrhein-Westfalen;Region West;01;f;60-199;89111;GKV;34;1077
2024-36;Nordrhein-Westfalen;Region West;01;m;0-29;89112;GKV;1;32
2024-36;Nordrhein-Westfalen;Region West;01;m;30-59;89111;GKV;1;32
2024-36;Nordrhein-Westfalen;Region West;01;m;30-59;89112;GKV;6;190
2024-36;Nordrhein-Westfalen;Region West;01;m;30-59;89112Y;GKV;1;32
2024-36;Nordrhein-Westfalen;Region West;01;m;60-199;375;PKV;1;32
2024-36;Nordrhein-Westfalen;Region West;01;m;60-199;89111;GKV;3;95
2024-36;Nordrhein-Westfalen;Region West;01;m;60-199;89111;GKV;42;1331
2024-36;Nordrhein-Westfalen;Region West;01;m;60-199;89112;GKV;1;32
2024-36;Nordrhein-Westfalen;Region West;02;f;30-59;89112;GKV;4;221
2024-36;Nordrhein-Westfalen;Region West;02;f;60-199;89111;GKV;1;55
2024-36;Nordrhein-Westfalen;Region West;02;f;60-199;89111;GKV;7;387
2024-36;Nordrhein-Westfalen;Region West;02;m;30-59;89112;GKV;12;663
2024-36;Nordrhein-Westfalen;Region West;02;m;60-199;89111;GKV;8;442
2024-36;Nordrhein-Westfalen;Region West;03;f;30-59;2;PKV;1;37
2024-36;Nordrhein-Westfalen;Region West;03;f;30-59;89111;GKV;2;75
2024-36;Nordrhein-Westfalen;Region West;03;f;30-59;89112;GKV;3;112
2024-36;Nordrhein-Westfalen;Region West;03;f;60-199;89111;GKV;4;150
2024-36;Nordrhein-Westfalen;Region West;03;f;60-199;89111;GKV;10;375
2024-36;Nordrhein-Westfalen;Region West;03;m;30-59;89112;GKV;2;75
2024-36;Nordrhein-Westfalen;Region West;03;m;30-59;89112;GKV;3;112
2024-36;Nordrhein-Westfalen;Region West;03;m;60-199;2;PKV;1;37
2024-36;Nordrhein-Westfalen;Region West;03;m;60-199;89111;GKV;2;75
2024-36;Nordrhein-Westfalen;Region West;03;m;60-199;89111;GKV;9;337
2024-36;Nordrhein-Westfalen;Region West;03;m;60-199;89112;GKV;1;37
2024-36;Rheinland-Pfalz;Region West;01;f;60-199;377;PKV;1;47
2024-36;Sachsen-Anhalt;Region Ost;01;f;30-59;375;PKV;1;45
2024-36;Sachsen-Anhalt;Region Ost;01;f;60-199;89111;GKV;3;135
2024-36;Schleswig-Holstein;Region Nord;01;f;0-29;89111;GKV;1;29
2024-36;Schleswig-Holstein;Region Nord;01;f;60-199;89111;GKV;2;59
2024-36;Schleswig-Holstein;Region Nord;01;m;60-199;375;PKV;1;29
2024-36;Schleswig-Holstein;Region Nord;01;m;60-199;89111;GKV;2;59
2024-36;Schleswig-Holstein;Region Nord;03;f;0-29;89112;GKV;1;19
2024-36;Schleswig-Holstein;Region Nord;03;f;30-59;89112;GKV;4;77
2024-36;Schleswig-Holstein;Region Nord;03;f;60-199;89111;GKV;1;19
2024-36;Schleswig-Holstein;Region Nord;03;f;60-199;89111;GKV;6;115
2024-36;Schleswig-Holstein;Region Nord;03;m;60-199;34;PKV;1;19
2024-36;Schleswig-Holstein;Region Nord;03;m;60-199;89111;GKV;2;38
2024-36;Schleswig-Holstein;Region Nord;03;m;60-199;89112;GKV;1;19
2024-36;Thüringen;Region Ost;01;m;0-29;89112;GKV;1;25
2024-36;Thüringen;Region Ost;02;f;60-199;89111;GKV;1;0
2024-36;Thüringen;Region Ost;03;m;60-199;89111;GKV;1;48
2024-37;Baden-Württemberg;Region Süd;01;f;0-29;375;GKV;1;45
2024-37;Baden-Württemberg;Region Süd;01;f;0-29;375;PKV;1;45
2024-37;Baden-Württemberg;Region Süd;01;f;0-29;89112;GKV;1;45
2024-37;Baden-Württemberg;Region Süd;01;f;0-29;89112;GKV;2;89
2024-37;Baden-Württemberg;Region Süd;01;f;30-59;3;PKV;1;45
2024-37;Baden-Württemberg;Region Süd;01;f;30-59;375;GKV;1;45
2024-37;Baden-Württemberg;Region Süd;01;f;30-59;89112;GKV;3;134
2024-37;Baden-Württemberg;Region Süd;01;f;30-59;89112;GKV;3;134
2024-37;Baden-Württemberg;Region Süd;01;f;60-199;375;PKV;1;45
2024-37;Baden-Württemberg;Region Süd;01;f;60-199;89111;GKV;21;938
2024-37;Baden-Württemberg;Region Süd;01;m;0-29;89112;GKV;1;45
2024-37;Baden-Württemberg;Region Süd;01;m;30-59;89112;GKV;2;89
2024-37;Baden-Württemberg;Region Süd;01;m;60-199;375;PKV;3;134
2024-37;Baden-Württemberg;Region Süd;01;m;60-199;89111;GKV;1;45
2024-37;Baden-Württemberg;Region Süd;01;m;60-199;89111;GKV;20;894
2024-37;Baden-Württemberg;Region Süd;01;m;60-199;89112;GKV;1;45
2024-37;Baden-Württemberg;Region Süd;02;m;60-199;750;PKV;1;87
2024-37;Baden-Württemberg;Region Süd;03;f;0-29;89112;GKV;1;63
2024-37;Baden-Württemberg;Region Süd;03;f;30-59;375;PKV;2;127
2024-37;Baden-Württemberg;Region Süd;03;f;30-59;89112;GKV;4;253
2024-37;Baden-Württemberg;Region Süd;03;f;60-199;375;PKV;1;63
2024-37;Baden-Württemberg;Region Süd;03;f;60-199;89111;GKV;4;253
2024-37;Baden-Württemberg;Region Süd;03;f;60-199;89111;GKV;7;444
2024-37;Baden-Württemberg;Region Süd;03;m;30-59;89112;GKV;2;127
2024-37;Baden-Württemberg;Region Süd;03;m;30-59;89112;GKV;1;63
2024-37;Baden-Württemberg;Region Süd;03;m;60-199;89111;GKV;5;317
2024-37;Baden-Württemberg;Region Süd;03;m;60-199;89111;GKV;8;507
2024-37;Bayern;Region Süd;01;f;0-29;89112;GKV;1;46
2024-37;Bayern;Region Süd;01;f;0-29;89112;GKV;6;275
2024-37;Bayern;Region Süd;01;f;30-59;89111;GKV;1;46
2024-37;Bayern;Region Süd;01;f;30-59;89111;GKV;3;138
2024-37;Bayern;Region Süd;01;f;30-59;89112;GKV;18;825
2024-37;Bayern;Region Süd;01;f;30-59;89112Z;GKV;5;229
2024-37;Bayern;Region Süd;01;f;60-199;375;PKV;6;275
2024-37;Bayern;Region Süd;01;f;60-199;377;PKV;1;46
2024-37;Bayern;Region Süd;01;f;60-199;89111;GKV;3;138
2024-37;Bayern;Region Süd;01;f;60-199;89111;GKV;63;2889
2024-37;Bayern;Region Süd;01;f;60-199;89112;GKV;2;92
2024-37;Bayern;Region Süd;01;f;60-199;89112;GKV;1;46
2024-37;Bayern;Region Süd;01;m;0-29;03003;GKV;1;46
2024-37;Bayern;Region Süd;01;m;0-29;89112;GKV;1;46
2024-37;Bayern;Region Süd;01;m;0-29;89112Y;GKV;1;46
2024-37;Bayern;Region Süd;01;m;30-59;377;PKV;1;46
2024-37;Bayern;Region Süd;01;m;30-59;89112;GKV;15;688
2024-37;Bayern;Region Süd;01;m;30-59;89112Y;GKV;1;46
2024-37;Bayern;Region Süd;01;m;30-59;89112Z;GKV;1;46
2024-37;Bayern;Region Süd;01;m;30-59;89112Z;GKV;7;321
2024-37;Bayern;Region Süd;01;m;60-199;375;PKV;7;321
2024-37;Bayern;Region Süd;01;m;60-199;7;PKV;1;46
2024-37;Bayern;Region Süd;01;m;60-199;89111;GKV;1;46
2024-37;Bayern;Region Süd;01;m;60-199;89111;GKV;64;2934
2024-37;Bayern;Region Süd;01;m;60-199;89112;GKV;1;46
2024-37;Bayern;Region Süd;01;m;60-199;89112Z;GKV;1;46
2024-37;Bayern;Region Süd;03;f;30-59;89111;GKV;1;64
2024-37;Bayern;Region Süd;03;f;30-59;89112;GKV;4;255
2024-37;Bayern;Region Süd;03;f;60-199;375;PKV;1;64
2024-37;Bayern;Region Süd;03;f;60-199;375;PKV;1;64
2024-37;Bayern;Region Süd;03;f;60-199;89111;GKV;1;64
2024-37;Bayern;Region Süd;03;f;60-199;89111;GKV;18;1146
2024-37;Bayern;Region Süd;03;m;30-59;375;PKV;1;64
2024-37;Bayern;Region Süd;03;m;30-59;89112Z;GKV;2;127
2024-37;Bayern;Region Süd;03;m;60-199;375;PKV;3;191
2024-37;Bayern;Region Süd;03;m;60-199;605A;PKV;1;64
2024-37;Bayern;Region Süd;03;m;60-199;89111;GKV;2;127
2024-37;Bayern;Region Süd;03;m;60-199;89111;GKV;14;891
2024-37;Berlin;Region Ost;01;f;0-29;89112;GKV;1;51
2024-37;Berlin;Region Ost;01;f;30-59;89112;GKV;6;303
2024-37;Berlin;Region Ost;01;f;30-59;89112Y;GKV;1;51
2024-37;Berlin;Region Ost;01;f;60-199;375;PKV;2;101
2024-37;Berlin;Region Ost;01;f;60-199;377;PKV;1;51
2024-37;Berlin;Region Ost;01;f;60-199;89111;GKV;30;1516
2024-37;Berlin;Region Ost;01;m;30-59;89112;GKV;6;303
2024-37;Berlin;Region Ost;01;m;60-199;375;PKV;1;51
2024-37;Berlin;Region Ost;01;m;60-199;89111;GKV;1;51
2024-37;Berlin;Region Ost;01;m;60-199;89111;GKV;42;2122
2024-37;Berlin;Region Ost;03;f;30-59;89111;GKV;5;251
2024-37;Berlin;Region Ost;03;f;30-59;89112;GKV;10;503
2024-37;Berlin;Region Ost;03;f;60-199;89111;GKV;9;453
2024-37;Berlin;Region Ost;03;f;60-199;89111;GKV;33;1660
2024-37;Berlin;Region Ost;03;f;60-199;89112;GKV;1;50
2024-37;Berlin;Region Ost;03;m;0-29;89112;GKV;1;50
2024-37;Berlin;Region Ost;03;m;30-59;375;PKV;1;50
2024-37;Berlin;Region Ost;03;m;30-59;89111;GKV;1;50
2024-37;Berlin;Region Ost;03;m;30-59;89111;GKV;1;50
2024-37;Berlin;Region Ost;03;m;30-59;89112;GKV;7;352
2024-37;Berlin;Region Ost;03;m;60-199;375;PKV;2;101
2024-37;Berlin;Region Ost;03;m;60-199;89111;GKV;10;503
2024-37;Berlin;Region Ost;03;m;60-199;89111;GKV;17;855
2024-37;Berlin;Region Ost;03;m;60-199;89112;GKV;2;101
2024-37;Brandenburg;Region Ost;01;f;0-29;89112;GKV;2;10
2024-37;Brandenburg;Region Ost;01;f;30-59;89111;GKV;1;5
2024-37;Brandenburg;Region Ost;01;f;30-59;89112;GKV;5;26
2024-37;Brandenburg;Region Ost;01;f;60-199;375;PKV;1;5
2024-37;Brandenburg;Region Ost;01;f;60-199;89111;GKV;1;5
2024-37;Brandenburg;Region Ost;01;f;60-199;89111;GKV;30;158
2024-37;Brandenburg;Region Ost;01;f;60-199;89112;GKV;1;5
2024-37;Brandenburg;Region Ost;01;m;0-29;89112;GKV;1;5
2024-37;Brandenburg;Region Ost;01;m;30-59;89112;GKV;8;42
2024-37;Brandenburg;Region Ost;01;m;60-199;375;PKV;2;10
2024-37;Brandenburg;Region Ost;01;m;60-199;89111;GKV;23;121
2024-37;Brandenburg;Region Ost;03;f;30-59;89112;GKV;4;397
2024-37;Brandenburg;Region Ost;03;f;30-59;89112;GKV;2;198
2024-37;Brandenburg;Region Ost;03;f;60-199;89111;GKV;1;99
2024-37;Brandenburg;Region Ost;03;f;60-199;89111;GKV;21;2082
2024-37;Brandenburg;Region Ost;03;m;30-59;89112;GKV;1;99
2024-37;Brandenburg;Region Ost;03;m;60-199;89111;GKV;2;198
2024-37;Brandenburg;Region Ost;03;m;60-199;89111;GKV;18;1785
2024-37;Brandenburg;Region Ost;03;m;60-199;89112;GKV;1;99
2024-37;Bremen;Region Nord;01;f;60-199;375;PKV;1;35
2024-37;Bremen;Region Nord;01;f;60-199;377;PKV;1;35
2024-37;Bremen;Region Nord;01;f;60-199;89111;GKV;7;243
2024-37;Bremen;Region Nord;01;m;60-199;377;PKV;1;35
2024-37;Bremen;Region Nord;01;m;60-199;89111;GKV;1;35
2024-37;Bremen;Region Nord;03;f;30-59;89112;GKV;2;59
2024-37;Bremen;Region Nord;03;f;30-59;89112;GKV;2;59
2024-37;Bremen;Region Nord;03;f;60-199;377;PKV;3;88
2024-37;Bremen;Region Nord;03;f;60-199;89111;GKV;1;30
2024-37;Bremen;Region Nord;03;f;60-199;89111;GKV;5;148
2024-37;Bremen;Region Nord;03;m;30-59;89112;GKV;2;59
2024-37;Bremen;Region Nord;03;m;60-199;377;PKV;1;30
2024-37;Bremen;Region Nord;03;m;60-199;89111;GKV;6;177
2024-37;Hamburg;Region Nord;01;f;30-59;89112;GKV;3;83
2024-37;Hamburg;Region Nord;01;f;60-199;375;PKV;1;28
2024-37;Hamburg;Region Nord;01;f;60-199;89111;GKV;1;28
2024-37;Hamburg;Region Nord;01;f;60-199;89111;GKV;1;28
2024-37;Hamburg;Region Nord;01;m;30-59;89112;GKV;3;83
2024-37;Hamburg;Region Nord;01;m;30-59;89112;GKV;1;28
2024-37;Hamburg;Region Nord;01;m;60-199;89111;GKV;1;28
2024-37;Hamburg;Region Nord;01;m;60-199;89111;GKV;3;83
2024-37;Hamburg;Region Nord;01;m;60-199;89112;GKV;1;28
2024-37;Hamburg;Region Nord;03;f;30-59;89112;GKV;1;44
2024-37;Hamburg;Region Nord;03;f;60-199;375;PKV;1;44
2024-37;Hamburg;Region Nord;03;f;60-199;89111;GKV;3;131
2024-37;Hamburg;Region Nord;03;m;30-59;89112;GKV;1;44
2024-37;Hamburg;Region Nord;03;m;60-199;89111;GKV;1;44
2024-37;Hamburg;Region Nord;03;m;60-199;89111;GKV;6;263
2024-37;Hessen;Region West;01;f;0-29;89112;GKV;1;38
2024-37;Hessen;Region West;01;f;30-59;89111;GKV;2;75
2024-37;Hessen;Region West;01;f;30-59;89112;GKV;4;150
2024-37;Hessen;Region West;01;f;30-59;89112;GKV;13;488
2024-37;Hessen;Region West;01;f;30-59;89112Y;GKV;1;38
2024-37;Hessen;Region West;01;f;60-199;1ZT;PKV;1;38
2024-37;Hessen;Region West;01;f;60-199;89111;GKV;14;526
2024-37;Hessen;Region West;01;f;60-199;89111;GKV;38;1427
2024-37;Hessen;Region West;01;f;60-199;89112;GKV;1;38
2024-37;Hessen;Region West;01;f;60-199;89112;GKV;1;38
2024-37;Hessen;Region West;01;m;30-59;89112;GKV;2;75
2024-37;Hessen;Region West;01;m;30-59;89112;GKV;6;225
2024-37;Hessen;Region West;01;m;60-199;375;PKV;3;113
2024-37;Hessen;Region West;01;m;60-199;375;PKV;1;38
2024-37;Hessen;Region West;01;m;60-199;5;PKV;1;38
2024-37;Hessen;Region West;01;m;60-199;89111;GKV;12;451
2024-37;Hessen;Region West;01;m;60-199;89111;GKV;34;1277
2024-37;Hessen;Region West;02;f;60-199;89111;GKV;2;0
2024-37;Hessen;Region West;02;m;30-59;89112;GKV;2;0
2024-37;Hessen;Region West;02;m;60-199;89111;GKV;1;0
2024-37;Hessen;Region West;03;f;30-59;89112;GKV;1;48
2024-37;Hessen;Region West;03;f;60-199;375;GKV;2;96
2024-37;Hessen;Region West;03;f;60-199;375;PKV;2;96
2024-37;Hessen;Region West;03;f;60-199;89111;GKV;5;240
2024-37;Hessen;Region West;03;f;60-199;89111;GKV;12;575
2024-37;Hessen;Region West;03;f;60-199;A76;PKV;1;48
2024-37;Hessen;Region West;03;m;30-59;34;PKV;1;48
2024-37;Hessen;Region West;03;m;30-59;89112;GKV;1;48
2024-37;Hessen;Region West;03;m;30-59;89112;GKV;3;144
2024-37;Hessen;Region West;03;m;30-59;89112Y;GKV;1;48
2024-37;Hessen;Region West;03;m;60-199;375;GKV;1;48
2024-37;Hessen;Region West;03;m;60-199;375;PKV;3;144
2024-37;Hessen;Region West;03;m;60-199;89111;GKV;8;383
2024-37;Hessen;Region West;03;m;60-199;89111;GKV;10;479
2024-37;Mecklenburg-Vorpommern;Region Ost;01;f;30-59;89112;GKV;1;41
2024-37;Mecklenburg-Vorpommern;Region Ost;01;f;60-199;89111;GKV;1;41
2024-37;Mecklenburg-Vorpommern;Region Ost;01;f;60-199;89111;GKV;9;368
