,week,kvregion,region,specialization,gender,age_group,insurancecode,insurancetype,risk_groups,absolute,extrapolated
51,2024-35,Hessen,Region West,3,m,60-199,89111,GKV,,1,44
52,2024-35,Hessen,Region West,3,m,60-199,89111,GKV,Hypertonie,1,44
53,2024-35,Niedersachsen,Region Nord,1,f,60-199,89111,GKV,,3,116
54,2024-35,Niedersachsen,Region Nord,1,m,30-59,375,PKV,,1,39
55,2024-35,Niedersachsen,Region Nord,1,m,30-59,70,PKV,,1,39
56,2024-35,Niedersachsen,Region Nord,1,m,60-199,89111,GKV,,2,77
57,2024-35,Niedersachsen,Region Nord,3,f,30-59,1,PKV,,1,40
58,2024-35,Nordrhein-Westfalen,Region West,1,f,30-59,89112,GKV,,3,93
59,2024-35,Nordrhein-Westfalen,Region West,1,f,60-199,3,PKV,,1,31
60,2024-35,Nordrhein-Westfalen,Region West,1,f,60-199,89111,GKV,,1,31
61,2024-35,Nordrhein-Westfalen,Region West,1,f,60-199,89111,GKV,,14,436
62,2024-35,Nordrhein-Westfalen,Region West,1,f,60-199,89111,GKV,Asthma,1,31
63,2024-35,Nordrhein-Westfalen,Region West,1,f,60-199,89111,GKV,COPD,1,31
64,2024-35,Nordrhein-Westfalen,Region West,1,f,60-199,89111,GKV,Hypertonie,2,62
65,2024-35,Nordrhein-Westfalen,Region West,1,f,60-199,89112,GKV,Hypertonie,1,31
66,2024-35,Nordrhein-Westfalen,Region West,1,m,0-29,89111,GKV,,1,31
67,2024-35,Nordrhein-Westfalen,Region West,1,m,0-29,89112,GKV,,1,31
68,2024-35,Nordrhein-Westfalen,Region West,1,m,30-59,89112,GKV,,1,31
69,2024-35,Nordrhein-Westfalen,Region West,1,m,60-199,89111,GKV,,3,93
70,2024-35,Nordrhein-Westfalen,Region West,1,m,60-199,89111,GKV,,12,373
71,2024-35,Nordrhein-Westfalen,Region West,1,m,60-199,89111,GKV,Chronische Leberkrankheit,2,62
72,2024-35,Nordrhein-Westfalen,Region West,1,m,60-199,89112,GKV,Chronische Herzkreislauf,1,31
73,2024-35,Nordrhein-Westfalen,Region West,1,m,60-199,89112,GKV,Chronische Leberkrankheit,1,31
74,2024-35,Nordrhein-Westfalen,Region West,1,m,60-199,89112,GKV,Hypertonie,1,31
75,2024-35,Nordrhein-Westfalen,Region West,3,m,30-59,89111,GKV,,1,37
76,2024-35,Nordrhein-Westfalen,Region West,3,m,60-199,375,PKV,,1,37
77,2024-35,Nordrhein-Westfalen,Region West,3,m,60-199,89111,GKV,,1,37
78,2024-35,Sachsen-Anhalt,Region Ost,1,f,30-59,89112,GKV,,1,45
79,2024-35,Sachsen-Anhalt,Region Ost,1,f,60-199,89111,GKV,,1,45
80,2024-35,Schleswig-Holstein,Region Nord,3,f,30-59,89112,GKV,,1,19
81,2024-35,Schleswig-Holstein,Region Nord,3,f,60-199,89112,GKV,,1,19
82,2024-36,Baden-Württemberg,Region Süd,1,m,30-59,377,PKV,,1,45
83,2024-36,Baden-Württemberg,Region Süd,3,f,60-199,89111,GKV,,1,63
84,2024-36,Baden-Württemberg,Region Süd,3,m,30-59,89112,GKV,,1,63
85,2024-36,Baden-Württemberg,Region Süd,3,m,60-199,89111,GKV,,1,63
86,2024-36,Bayern,Region Süd,1,f,0-29,89112,GKV,,1,46
87,2024-36,Bayern,Region Süd,1,f,0-29,89112,GKV,,3,138
88,2024-36,Bayern,Region Süd,1,f,30-59,89112,GKV,,4,183
89,2024-36,Bayern,Region Süd,1,f,30-59,89112Z,GKV,Asthma,1,46
90,2024-36,Bayern,Region Süd,1,f,60-199,375,PKV,,1,46
92,2024-36,Bayern,Region Süd,1,f,60-199,89111,GKV,,1,46
93,2024-36,Bayern,Region Süd,1,f,60-199,89111,GKV,,7,321
94,2024-36,Bayern,Region Süd,1,f,60-199,89111,GKV,Asthma,1,46
95,2024-36,Bayern,Region Süd,1,f,60-199,89111,GKV,COPD,1,46
96,2024-36,Bayern,Region Süd,1,f,60-199,89111,GKV,Diabetes T2,1,46
97,2024-36,Bayern,Region Süd,1,f,60-199,89111,GKV,Hypertonie,1,46
98,2024-36,Bayern,Region Süd,1,m,30-59,89112,GKV,,2,92
99,2024-36,Bayern,Region Süd,1,m,60-199,2,PKV,,1,46
100,2024-36,Bayern,Region Süd,1,m,60-199,89111,GKV,,1,46
101,2024-36,Bayern,Region Süd,1,m,60-199,89111,GKV,,9,413
102,2024-36,Bayern,Region Süd,1,m,60-199,89111,GKV,COPD,1,46
103,2024-36,Bayern,Region Süd,1,m,60-199,89111,GKV,Chronische Herzkreislauf,1,46
104,2024-36,Bayern,Region Süd,1,m,60-199,89111,GKV,Diabetes T2,2,92
105,2024-36,Bayern,Region Süd,3,f,30-59,89112,GKV,,1,63
106,2024-36,Bayern,Region Süd,3,m,30-59,89112,GKV,,4,251
107,2024-36,Bayern,Region Süd,3,m,60-199,89111,GKV,,1,63
108,2024-36,Berlin,Region Ost,1,f,30-59,89112,GKV,,1,51
109,2024-36,Berlin,Region Ost,1,f,60-199,89111,GKV,,4,202
110,2024-36,Berlin,Region Ost,1,f,60-199,89112,GKV,,1,51
111,2024-36,Berlin,Region Ost,1,m,30-59,89112,GKV,,2,101
112,2024-36,Berlin,Region Ost,1,m,60-199,5,PKV,,1,51
113,2024-36,Berlin,Region Ost,1,m,60-199,89111,GKV,,3,152
114,2024-36,Berlin,Region Ost,3,f,30-59,89112,GKV,,5,251
115,2024-36,Berlin,Region Ost,3,f,60-199,89111,GKV,,3,151
116,2024-36,Berlin,Region Ost,3,f,60-199,89111,GKV,,19,956
117,2024-36,Berlin,Region Ost,3,f,60-199,89112,GKV,,1,50
118,2024-36,Berlin,Region Ost,3,m,60-199,89111,GKV,,5,251
119,2024-36,Berlin,Region Ost,3,m,60-199,89111,GKV,,7,352
120,2024-36,Berlin,Region Ost,3,m,60-199,89112,GKV,,1,50
121,2024-36,Brandenburg,Region Ost,1,f,30-59,89111,GKV,,1,5
122,2024-36,Brandenburg,Region Ost,1,f,30-59,89112,GKV,,1,5
123,2024-36,Brandenburg,Region Ost,1,f,60-199,89111,GKV,,1,5
124,2024-36,Brandenburg,Region Ost,1,f,60-199,89111,GKV,,2,10
125,2024-36,Brandenburg,Region Ost,1,m,30-59,89112,GKV,,1,5
126,2024-36,Brandenburg,Region Ost,1,m,60-199,89111,GKV,,4,21
127,2024-36,Brandenburg,Region Ost,3,f,60-199,375,PKV,Hypertonie,1,99
128,2024-36,Brandenburg,Region Ost,3,f,60-199,89111,GKV,,1,99
129,2024-36,Brandenburg,Region Ost,3,m,60-199,89111,GKV,,2,198
130,2024-36,Brandenburg,Region Ost,3,m,60-199,89111,GKV,Diabetes T2,1,99
131,2024-36,Brandenburg,Region Ost,3,m,60-199,89111,GKV,Hypertonie,1,99
132,2024-36,Bremen,Region Nord,1,f,0-29,89112,GKV,,1,35
133,2024-36,Bremen,Region Nord,1,f,60-199,89111,GKV,,1,35
134,2024-36,Bremen,Region Nord,1,m,30-59,375,GKV,,1,35
135,2024-36,Bremen,Region Nord,1,m,30-59,89112,GKV,,2,70
136,2024-36,Bremen,Region Nord,1,m,60-199,89111,GKV,,2,70
137,2024-36,Bremen,Region Nord,3,f,60-199,89111,GKV,,1,30
138,2024-36,Bremen,Region Nord,3,m,30-59,89112,GKV,,1,30
139,2024-36,Hamburg,Region Nord,1,m,60-199,89111,GKV,,1,28
140,2024-36,Hessen,Region West,1,f,30-59,89112,GKV,,1,38
141,2024-36,Hessen,Region West,1,f,60-199,89111,GKV,,2,75
142,2024-36,Hessen,Region West,1,m,30-59,89112,GKV,,3,113
143,2024-36,Hessen,Region West,1,m,30-59,89112,GKV,Hypertonie,1,38
144,2024-36,Hessen,Region West,1,m,60-199,89111,GKV,,1,38
145,2024-36,Hessen,Region West,3,f,30-59,89112,GKV,,2,96
146,2024-36,Hessen,Region West,3,f,60-199,377,PKV,,1,48
147,2024-36,Hessen,Region West,3,f,60-199,89111,GKV,,2,96
148,2024-36,Hessen,Region West,3,f,60-199,89111,GKV,COPD,1,48
150,2024-36,Hessen,Region West,3,m,0-29,89112,GKV,,2,96
151,2024-36,Hessen,Region West,3,m,60-199,375,PKV,,1,48
152,2024-36,Hessen,Region West,3,m,60-199,89111,GKV,,3,144
153,2024-36,Hessen,Region West,3,m,60-199,89111,GKV,Diabetes T2,1,48
154,2024-36,Hessen,Region West,3,m,60-199,89111,GKV,,1,48
155,2024-36,Mecklenburg-Vorpommern,Region Ost,1,f,60-199,89111,GKV,,1,41
156,2024-36,Niedersachsen,Region Nord,1,f,30-59,375,PKV,,1,39
157,2024-36,Niedersachsen,Region Nord,1,f,30-59,89112,GKV,,2,77
158,2024-36,Niedersachsen,Region Nord,1,f,30-59,89112,GKV,Hypertonie,1,39
159,2024-36,Niedersachsen,Region Nord,1,f,60-199,3595H1,PKV,,1,39
160,2024-36,Niedersachsen,Region Nord,1,f,60-199,375,PKV,,1,39
161,2024-36,Niedersachsen,Region Nord,1,f,60-199,89111,GKV,,8,309
162,2024-36,Niedersachsen,Region Nord,1,m,60-199,1,PKV,,1,39
163,2024-36,Niedersachsen,Region Nord,1,m,60-199,3,PKV,,1,39
164,2024-36,Niedersachsen,Region Nord,1,m,60-199,375,PKV,,1,39
165,2024-36,Niedersachsen,Region Nord,1,m,60-199,89111,GKV,,8,309
166,2024-36,Niedersachsen,Region Nord,2,f,60-199,89111,GKV,,2,46
167,2024-36,Niedersachsen,Region Nord,2,m,60-199,89111,GKV,,1,23
168,2024-36,Niedersachsen,Region Nord,3,f,60-199,2,PKV,,1,40
169,2024-36,Niedersachsen,Region Nord,3,f,60-199,89111,GKV,,1,40
170,2024-36,Niedersachsen,Region Nord,3,m,60-199,2,PKV,Hypertonie,1,40
171,2024-36,Niedersachsen,Region Nord,3,m,60-199,375,PKV,Hypertonie,1,40
172,2024-36,Niedersachsen,Region Nord,3,m,60-199,5,PKV,,1,40
173,2024-36,Niedersachsen,Region Nord,3,m,60-199,89111,GKV,,1,40
174,2024-36,Nordrhein-Westfalen,Region West,1,f,0-29,89112,GKV,,1,32
175,2024-36,Nordrhein-Westfalen,Region West,1,f,0-29,89112,GKV,Asthma,1,32
176,2024-36,Nordrhein-Westfalen,Region West,1,f,30-59,2,PKV,,1,32
177,2024-36,Nordrhein-Westfalen,Region West,1,f,30-59,89112,GKV,,1,32
178,2024-36,Nordrhein-Westfalen,Region West,1,f,30-59,89112,GKV,,8,253
179,2024-36,Nordrhein-Westfalen,Region West,1,f,30-59,89112,GKV,Chronische Leberkrankheit,1,32
180,2024-36,Nordrhein-Westfalen,Region West,1,f,30-59,89112Y,GKV,,1,32
181,2024-36,Nordrhein-Westfalen,Region West,1,f,60-199,375,PKV,,1,32
182,2024-36,Nordrhein-Westfalen,Region West,1,f,60-199,89111,GKV,,3,95
183,2024-36,Nordrhein-Westfalen,Region West,1,f,60-199,89111,GKV,,31,982
184,2024-36,Nordrhein-Westfalen,Region West,1,f,60-199,89111,GKV,Asthma,1,32
185,2024-36,Nordrhein-Westfalen,Region West,1,f,60-199,89111,GKV,COPD,2,63
186,2024-36,Nordrhein-Westfalen,Region West,1,f,60-199,89111,GKV,Hypertonie,1,32
187,2024-36,Nordrhein-Westfalen,Region West,1,m,0-29,89112,GKV,,1,32
188,2024-36,Nordrhein-Westfalen,Region West,1,m,30-59,89111,GKV,,1,32
189,2024-36,Nordrhein-Westfalen,Region West,1,m,30-59,89112,GKV,,4,127
190,2024-36,Nordrhein-Westfalen,Region West,1,m,30-59,89112,GKV,Asthma,1,32
191,2024-36,Nordrhein-Westfalen,Region West,1,m,30-59,89112,GKV,Chronische Herzkreislauf,1,32
192,2024-36,Nordrhein-Westfalen,Region West,1,m,30-59,89112,GKV,Hypertonie,1,32
193,2024-36,Nordrhein-Westfalen,Region West,1,m,30-59,89112Y,GKV,,1,32
194,2024-36,Nordrhein-Westfalen,Region West,1,m,60-199,375,PKV,,1,32
195,2024-36,Nordrhein-Westfalen,Region West,1,m,60-199,89111,GKV,,3,95
196,2024-36,Nordrhein-Westfalen,Region West,1,m,60-199,89111,GKV,,40,1267
197,2024-36,Nordrhein-Westfalen,Region West,1,m,60-199,89111,GKV,Diabetes T2,1,32
198,2024-36,Nordrhein-Westfalen,Region West,1,m,60-199,89111,GKV,Hypertonie,1,32
199,2024-36,Nordrhein-Westfalen,Region West,1,m,60-199,89112,GKV,,1,32
200,2024-36,Nordrhein-Westfalen,Region West,2,f,30-59,89112,GKV,,4,221
201,2024-36,Nordrhein-Westfalen,Region West,2,f,60-199,89111,GKV,,1,55
202,2024-36,Nordrhein-Westfalen,Region West,2,f,60-199,89111,GKV,,6,332
203,2024-36,Nordrhein-Westfalen,Region West,2,f,60-199,89111,GKV,Hypertonie,1,55
204,2024-36,Nordrhein-Westfalen,Region West,2,m,30-59,89112,GKV,,11,608
205,2024-36,Nordrhein-Westfalen,Region West,2,m,30-59,89112,GKV,Diabetes T2,1,55
206,2024-36,Nordrhein-Westfalen,Region West,2,m,60-199,89111,GKV,,5,276
207,2024-36,Nordrhein-Westfalen,Region West,2,m,60-199,89111,GKV,Chronische Herzkreislauf,1,55
208,2024-36,Nordrhein-Westfalen,Region West,2,m,60-199,89111,GKV,Chronische Leberkrankheit,1,55
209,2024-36,Nordrhein-Westfalen,Region West,2,m,60-199,89111,GKV,Diabetes T2,1,55
210,2024-36,Nordrhein-Westfalen,Region West,2,m,60-199,89111,GKV,Hypertonie,2,110
211,2024-36,Nordrhein-Westfalen,Region West,3,f,30-59,2,PKV,,1,37
212,2024-36,Nordrhein-Westfalen,Region West,3,f,30-59,89111,GKV,,2,75
213,2024-36,Nordrhein-Westfalen,Region West,3,f,30-59,89112,GKV,,2,75
214,2024-36,Nordrhein-Westfalen,Region West,3,f,30-59,89112,GKV,Diabetes T2,1,37
215,2024-36,Nordrhein-Westfalen,Region West,3,f,60-199,89111,GKV,,4,150
216,2024-36,Nordrhein-Westfalen,Region West,3,f,60-199,89111,GKV,,10,375
217,2024-36,Nordrhein-Westfalen,Region West,3,m,30-59,89112,GKV,,1,37
218,2024-36,Nordrhein-Westfalen,Region West,3,m,30-59,89112,GKV,Diabetes T2,1,37
219,2024-36,Nordrhein-Westfalen,Region West,3,m,30-59,89112,GKV,,2,75
220,2024-36,Nordrhein-Westfalen,Region West,3,m,30-59,89112,GKV,Chronische Herzkreislauf,1,37
221,2024-36,Nordrhein-Westfalen,Region West,3,m,60-199,2,PKV,,1,37
222,2024-36,Nordrhein-Westfalen,Region West,3,m,60-199,89111,GKV,,2,75
223,2024-36,Nordrhein-Westfalen,Region West,3,m,60-199,89111,GKV,,6,225
224,2024-36,Nordrhein-Westfalen,Region West,3,m,60-199,89111,GKV,Chronische Herzkreislauf,1,37
225,2024-36,Nordrhein-Westfalen,Region West,3,m,60-199,89111,GKV,Diabetes T2,2,75
226,2024-36,Nordrhein-Westfalen,Region West,3,m,60-199,89112,GKV,,1,37
227,2024-36,Rheinland-Pfalz,Region West,1,f,60-199,377,PKV,,1,47
228,2024-36,Sachsen-Anhalt,Region Ost,1,f,30-59,375,PKV,,1,45
229,2024-36,Sachsen-Anhalt,Region Ost,1,f,60-199,89111,GKV,,1,45
230,2024-36,Sachsen-Anhalt,Region Ost,1,f,60-199,89111,GKV,Diabetes T2,1,45
231,2024-36,Sachsen-Anhalt,Region Ost,1,f,60-199,89111,GKV,Hypertonie,1,45
232,2024-36,Schleswig-Holstein,Region Nord,1,f,0-29,89111,GKV,,1,29
233,2024-36,Schleswig-Holstein,Region Nord,1,f,60-199,89111,GKV,,2,59
234,2024-36,Schleswig-Holstein,Region Nord,1,m,60-199,375,PKV,,1,29
235,2024-36,Schleswig-Holstein,Region Nord,1,m,60-199,89111,GKV,,2,59
236,2024-36,Schleswig-Holstein,Region Nord,3,f,0-29,89112,GKV,,1,19
237,2024-36,Schleswig-Holstein,Region Nord,3,f,30-59,89112,GKV,,3,58
238,2024-36,Schleswig-Holstein,Region Nord,3,f,30-59,89112,GKV,Asthma,1,19
239,2024-36,Schleswig-Holstein,Region Nord,3,f,30-59,89112,GKV,Diabetes T2,1,19
240,2024-36,Schleswig-Holstein,Region Nord,3,f,30-59,89112,GKV,Hypertonie,1,19
241,2024-36,Schleswig-Holstein,Region Nord,3,f,60-199,89111,GKV,,1,19
242,2024-36,Schleswig-Holstein,Region Nord,3,f,60-199,89111,GKV,,6,115
243,2024-36,Schleswig-Holstein,Region Nord,3,m,60-199,34,PKV,,1,19
244,2024-36,Schleswig-Holstein,Region Nord,3,m,60-199,89111,GKV,,2,38
245,2024-36,Schleswig-Holstein,Region Nord,3,m,60-199,89112,GKV,,1,19
246,2024-36,Thüringen,Region Ost,1,m,0-29,89112,GKV,,1,25
247,2024-36,Thüringen,Region Ost,2,f,60-199,89111,GKV,Hypertonie,1,0
248,2024-36,Thüringen,Region Ost,3,m,60-199,89111,GKV,,1,48
249,2024-37,Baden-Württemberg,Region Süd,1,f,0-29,375,GKV,,1,45
250,2024-37,Baden-Württemberg,Region Süd,1,f,0-29,375,PKV,,1,45
251,2024-37,Baden-Württemberg,Region Süd,1,f,0-29,89112,GKV,,1,45
252,2024-37,Baden-Württemberg,Region Süd,1,f,0-29,89112,GKV,,2,89
253,2024-37,Baden-Württemberg,Region Süd,1,f,30-59,3,PKV,,1,45
254,2024-37,Baden-Württemberg,Region Süd,1,f,30-59,375,GKV,,1,45
255,2024-37,Baden-Württemberg,Region Süd,1,f,30-59,89112,GKV,,3,134
257,2024-37,Baden-Württemberg,Region Süd,1,f,60-199,375,PKV,Hypertonie,1,45
258,2024-37,Baden-Württemberg,Region Süd,1,f,60-199,89111,GKV,,20,894
259,2024-37,Baden-Württemberg,Region Süd,1,f,60-199,89111,GKV,Chronische Herzkreislauf,1,45
260,2024-37,Baden-Württemberg,Region Süd,1,f,60-199,89111,GKV,Diabetes T2,1,45
261,2024-37,Baden-Württemberg,Region Süd,1,m,0-29,89112,GKV,,1,45
262,2024-37,Baden-Württemberg,Region Süd,1,m,30-59,89112,GKV,,2,89
263,2024-37,Baden-Württemberg,Region Süd,1,m,60-199,375,PKV,,3,134
264,2024-37,Baden-Württemberg,Region Süd,1,m,60-199,89111,GKV,,1,45
265,2024-37,Baden-Württemberg,Region Süd,1,m,60-199,89111,GKV,,16,715
266,2024-37,Baden-Württemberg,Region Süd,1,m,60-199,89111,GKV,Chronische Herzkreislauf,2,89
267,2024-37,Baden-Württemberg,Region Süd,1,m,60-199,89111,GKV,Diabetes T2,1,45
268,2024-37,Baden-Württemberg,Region Süd,1,m,60-199,89111,GKV,Hypertonie,3,134
269,2024-37,Baden-Württemberg,Region Süd,1,m,60-199,89112,GKV,,1,45
270,2024-37,Baden-Württemberg,Region Süd,2,m,60-199,750,PKV,COPD,1,87
271,2024-37,Baden-Württemberg,Region Süd,2,m,60-199,750,PKV,Diabetes T2,1,87
272,2024-37,Baden-Württemberg,Region Süd,3,f,0-29,89112,GKV,,1,63
273,2024-37,Baden-Württemberg,Region Süd,3,f,30-59,375,PKV,,2,127
274,2024-37,Baden-Württemberg,Region Süd,3,f,30-59,89112,GKV,,4,253
275,2024-37,Baden-Württemberg,Region Süd,3,f,60-199,375,PKV,,1,63
276,2024-37,Baden-Württemberg,Region Süd,3,f,60-199,89111,GKV,,2,127
277,2024-37,Baden-Württemberg,Region Süd,3,f,60-199,89111,GKV,COPD,1,63
278,2024-37,Baden-Württemberg,Region Süd,3,f,60-199,89111,GKV,Diabetes T2,1,63
279,2024-37,Baden-Württemberg,Region Süd,3,f,60-199,89111,GKV,,7,444
280,2024-37,Baden-Württemberg,Region Süd,3,m,30-59,89112,GKV,,1,63
281,2024-37,Baden-Württemberg,Region Süd,3,m,30-59,89112,GKV,Chronische Herzkreislauf,1,63
283,2024-37,Baden-Württemberg,Region Süd,3,m,60-199,89111,GKV,,5,317
284,2024-37,Baden-Württemberg,Region Süd,3,m,60-199,89111,GKV,,7,444
285,2024-37,Baden-Württemberg,Region Süd,3,m,60-199,89111,GKV,Chronische Herzkreislauf,1,63
286,2024-37,Bayern,Region Süd,1,f,0-29,89112,GKV,,1,46
287,2024-37,Bayern,Region Süd,1,f,0-29,89112,GKV,,5,229
288,2024-37,Bayern,Region Süd,1,f,0-29,89112,GKV,Asthma,1,46
289,2024-37,Bayern,Region Süd,1,f,30-59,89111,GKV,,1,46
290,2024-37,Bayern,Region Süd,1,f,30-59,89111,GKV,,3,138
291,2024-37,Bayern,Region Süd,1,f,30-59,89112,GKV,,15,688
292,2024-37,Bayern,Region Süd,1,f,30-59,89112,GKV,Asthma,1,46
293,2024-37,Bayern,Region Süd,1,f,30-59,89112,GKV,Hypertonie,2,92
294,2024-37,Bayern,Region Süd,1,f,30-59,89112Z,GKV,,5,229
295,2024-37,Bayern,Region Süd,1,f,60-199,375,PKV,,5,229
296,2024-37,Bayern,Region Süd,1,f,60-199,375,PKV,Hypertonie,1,46
297,2024-37,Bayern,Region Süd,1,f,60-199,377,PKV,,1,46
298,2024-37,Bayern,Region Süd,1,f,60-199,89111,GKV,,3,138
299,2024-37,Bayern,Region Süd,1,f,60-199,89111,GKV,,56,2568
300,2024-37,Bayern,Region Süd,1,f,60-199,89111,GKV,COPD,2,92
301,2024-37,Bayern,Region Süd,1,f,60-199,89111,GKV,Chronische Herzkreislauf,2,92
302,2024-37,Bayern,Region Süd,1,f,60-199,89111,GKV,Diabetes T2,3,138
303,2024-37,Bayern,Region Süd,1,f,60-199,89111,GKV,Hypertonie,2,92
304,2024-37,Bayern,Region Süd,1,f,60-199,89112,GKV,,2,92
305,2024-37,Bayern,Region Süd,1,f,60-199,89112,GKV,,1,46
306,2024-37,Bayern,Region Süd,1,m,0-29,03003,GKV,,1,46
307,2024-37,Bayern,Region Süd,1,m,0-29,89112,GKV,,1,46
308,2024-37,Bayern,Region Süd,1,m,0-29,89112Y,GKV,,1,46
309,2024-37,Bayern,Region Süd,1,m,30-59,377,PKV,,1,46
310,2024-37,Bayern,Region Süd,1,m,30-59,89112,GKV,,12,550
311,2024-37,Bayern,Region Süd,1,m,30-59,89112,GKV,COPD,1,46
312,2024-37,Bayern,Region Süd,1,m,30-59,89112,GKV,Chronische Herzkreislauf,2,92
313,2024-37,Bayern,Region Süd,1,m,30-59,89112Y,GKV,,1,46
314,2024-37,Bayern,Region Süd,1,m,30-59,89112Z,GKV,,1,46
315,2024-37,Bayern,Region Süd,1,m,30-59,89112Z,GKV,,7,321
316,2024-37,Bayern,Region Süd,1,m,60-199,375,PKV,,6,275
317,2024-37,Bayern,Region Süd,1,m,60-199,375,PKV,Chronische Herzkreislauf,1,46
318,2024-37,Bayern,Region Süd,1,m,60-199,7,PKV,,1,46
319,2024-37,Bayern,Region Süd,1,m,60-199,89111,GKV,,1,46
320,2024-37,Bayern,Region Süd,1,m,60-199,89111,GKV,,55,2522
321,2024-37,Bayern,Region Süd,1,m,60-199,89111,GKV,Asthma,2,92
322,2024-37,Bayern,Region Süd,1,m,60-199,89111,GKV,COPD,2,92
323,2024-37,Bayern,Region Süd,1,m,60-199,89111,GKV,Chronische Herzkreislauf,3,138
324,2024-37,Bayern,Region Süd,1,m,60-199,89111,GKV,Diabetes T2,3,138
325,2024-37,Bayern,Region Süd,1,m,60-199,89111,GKV,Hypertonie,3,138
326,2024-37,Bayern,Region Süd,1,m,60-199,89112,GKV,,1,46
327,2024-37,Bayern,Region Süd,1,m,60-199,89112Z,GKV,,1,46
328,2024-37,Bayern,Region Süd,3,f,30-59,89111,GKV,,1,64
